SetNumber,ElementID,Qty,Colour,Category,DesignID,ElementName,ImageURL,ElementSetCount
"31145-1","6423955","1","Light Purple","Plates","2654","SLIDE SHOE ROUND 2X2","/cdn/product-assets/element.img.lod5photo.192x192/6423955.jpg","14"
"31145-1","6071246","2","Medium Azur","Bricks","11477","PLATE W. BOW 1X2X2/3","/cdn/product-assets/element.img.lod5photo.192x192/6071246.jpg","82"
"31145-1","6150307","6","Medium Azur","Plates","25269","1/4 CIRCLE TILE 1X1","/cdn/cs/set/assets/blt66ff5efad56c6695/6150307.jpg","122"
"31145-1","6258069","2","Medium Azur","Plates","27925","TILE 2X2, W/ BOW","/cdn/product-assets/element.img.lod5photo.192x192/6258069.jpg","75"
"31145-1","6043639","7","Medium Stone Grey","Plates","14418","PLATE 1X2 BALL CUP / FRICTION END","/cdn/cs/set/assets/bltc6aa438f7e6570b0/6043639.jpg","565"
"31145-1","6043656","5","Medium Stone Grey","Plates","14704","PLATE 1X2 BALL CUP / FRICTION MIDDLE","/cdn/product-assets/element.img.lod5photo.192x192/6043656.jpg","795"
"31145-1","6225246","2","Medium Stone Grey","Plates","26047","PLATE 1X1 ROUND W/ 3.2 SHAFT","/cdn/product-assets/element.img.lod5photo.192x192/6225246.jpg","201"
"31145-1","6443149","6","Medium Stone Grey","Connectors","3985","BALL W. CROSS AXLE","/cdn/product-assets/element.img.lod5photo.192x192/6443149.jpg","162"
"31145-1","4539097","4","New Dark Red","Plates","3023","PLATE 1X2","/cdn/product-assets/element.img.lod5photo.192x192/4539097.jpg","347"
"31145-1","6168645","3","New Dark Red","Plates","28626","PL.ROUND 1X1 W. THROUGHG. HOLE","/cdn/cs/set/assets/blta076a2e179c3e120/6168645.jpg","96"
"31145-1","6206250","2","New Dark Red","Bricks","31493","BRICK 1X2 WITH CROSS HOLE","/cdn/product-assets/element.img.lod5photo.192x192/6206250.jpg","38"
"31145-1","6359692","1","New Dark Red","Plates","41682","PLATE 1X2 W/ VERT. TUBE","/cdn/product-assets/element.img.lod5photo.192x192/6359692.jpg","17"
"31145-1","6431687","1","New Dark Red","Connectors","53923","FRIC/STUMP WITH CROSS HOLE","/cdn/product-assets/element.img.lod5photo.192x192/6431687.jpg","5"
"31145-1","6510188","2","Transparent","Minifigure Accessories","65578","HANDLE, NO. 1","/cdn/product-assets/element.img.lod5photo.192x192/6510188.jpg","133"
"31145-1","6252746","2","White","Plates","44690","FLAT TILE 2X2, ROUND, NO. 1116","/cdn/product-assets/element.img.lod5photo.192x192/6252746.jpg","20"




