SetNumber,ElementID,Qty,Colour,Category,DesignID,ElementName,ImageURL,ElementSetCount
"31145-1","6199886","2","Aqua","Plates","25269","1/4 CIRCLE TILE 1X1","/cdn/cs/set/assets/bltdb44e597c03dc9c3/6199886.jpg","78"
"31145-1","6147050","2","Black","Bricks","24201","PLATE W/ HALF BOW INV. 1X2X2/3","/cdn/product-assets/element.img.lod5photo.192x192/6147050.jpg","306"
"31145-1","6208787","2","Black","Plates","35044","PLATE 4X4, W/ ARCH","/cdn/product-assets/element.img.lod5photo.192x192/6208787.jpg","69"
"31145-1","6371584","1","Black","Buildings & Furniture","78258","SHAFT 2M DIA. 3.2 W/ STOP","/cdn/product-assets/element.img.lod5photo.192x192/6371584.jpg","150"
"31145-1","6046907","2","Brick Yellow","Miscellaneous","15208","1X2 PLATE WITH 3 TEETH","/cdn/cs/set/assets/blta5c1eb60f26a957e/6046907.jpg","57"
"31145-1","6143058","4","Brick Yellow","Miscellaneous","15070","PLADE 1X1 M. 1 LOD. TAND","/cdn/cs/set/assets/bltb5a5c95a082edb98/6143058.jpg","27"
"31145-1","6368620","1","Brick Yellow","Animals & Nature","67258","COW HORN","/cdn/product-assets/element.img.lod5photo.192x192/6368620.jpg","12"
"31145-1","6440775","2","Brick Yellow","Animals & Nature","3171","CLAW, W/ 3.2 HOLDER, NO. 1","/cdn/product-assets/element.img.lod5photo.192x192/6440775.jpg","3"
"31145-1","300421","2","Bright Red","Bricks","3004","BRICK 1X2","/cdn/product-assets/element.img.lod5photo.192x192/300421.jpg","885"
"31145-1","302021","2","Bright Red","Plates","3020","PLATE 2X4","/cdn/product-assets/element.img.lod5photo.192x192/302021.jpg","934"
"31145-1","302221","5","Bright Red","Plates","3022","PLATE 2X2","/cdn/product-assets/element.img.lod5photo.192x192/302221.jpg","1021"
"31145-1","487121","1","Bright Red","Bricks","4871","ROOF TILE 4X2/45Â° INV.","/cdn/product-assets/element.img.lod5photo.192x192/487121.jpg","61"
"31145-1","4178428","2","Bright Red","Plates","30357","PLATE 3X3, 1/4 CIRCLE","/cdn/product-assets/element.img.lod5photo.192x192/4178428.jpg","62"
"31145-1","4220515","3","Bright Red","Miscellaneous","47457","PLATES W. BOWS 2X2","/cdn/product-assets/element.img.lod5photo.192x192/4220515.jpg","136"
"31145-1","4558886","4","Bright Red","Bricks","87087","BRICK 1X1 W. 1 KNOB","/cdn/cs/set/assets//cdn/cs/set/assets/blt5e8a248643df5699/4558886.jpg","205"
"31145-1","4653024","1","Bright Red","Vehicles & Transportation","44674","RACERS GUARD 2,5 X 4","/cdn/product-assets/element.img.lod5photo.192x192/4653024.jpg","32"
"31145-1","6029946","1","Bright Red","Bricks","11477","PLATE W. BOW 1X2X2/3","/cdn/product-assets/element.img.lod5photo.192x192/6029946.jpg","356"
"31145-1","6066342","2","Bright Red","Plates","14769","FLAT TILE 2X2, ROUND","/cdn/cs/set/assets/blta037e416bcdbc8b4/6066342.jpg","153"
"31145-1","6089698","2","Bright Red","Plates","99780","ANGULAR PLATE 1.5 BOT. 1X2 1/2","/cdn/product-assets/element.img.lod5photo.192x192/6089698.jpg","192"
"31145-1","6099736","2","Bright Red","Plates","11458","PLATE 1X2 W. HOR. HOLE Ã˜ 4.8","/cdn/product-assets/element.img.lod5photo.192x192/6099736.jpg","54"
"31145-1","6170390","2","Bright Red","Plates","25269","1/4 CIRCLE TILE 1X1","/cdn/product-assets/element.img.lod5photo.192x192/6170390.jpg","197"
"31145-1","6176298","2","Bright Red","Miscellaneous","25214","DESIGN SHAPE W/ TUBE, CROSSHOLE","/cdn/product-assets/element.img.lod5photo.192x192/6176298.jpg","30"
"31145-1","6184782","4","Bright Red","Bricks","32807","BRICK 1X1X1 1/3, W/ ARCH","/cdn/cs/set/assets/bltdca83205c5a24068/6184782.jpg","128"
"31145-1","6210269","3","Bright Red","Plates","35480","PLATE 1X2, ROUNDED, NO. 1","/cdn/product-assets/element.img.lod5photo.192x192/6210269.jpg","190"
"31145-1","6212012","1","Bright Red","Bricks","92903","BRICK 1X3X2 W/INS AND OUTS.BOW","/cdn/product-assets/element.img.lod5photo.192x192/6212012.jpg","33"
"31145-1","6249907","2","Bright Red","Plates","36840","PLATE 1X1, W/ 1.5 PLATE 1X1, UPWARDS","/cdn/product-assets/element.img.lod5photo.192x192/6249907.jpg","90"
"31145-1","6266205","1","Bright Red","Plates","50340","PLATE 1X2 W/FORK, VERTICAL","/cdn/product-assets/element.img.lod5photo.192x192/6266205.jpg","31"
"31145-1","6294331","2","Bright Red","Bricks","18653","Brick 1x3x2 w. inside bow","/cdn/product-assets/element.img.lod5photo.192x192/6294331.jpg","19"
"31145-1","6297822","1","Bright Red","Bricks","30935","BRICK 1X1X3 1/3, W/ ARCH","/cdn/product-assets/element.img.lod5photo.192x192/6297822.jpg","15"
"31145-1","6369577","2","Bright Red","Bricks","78666","BRICK 1X2, OUTSIDE HALF ARCH, NO. 1","/cdn/product-assets/element.img.lod5photo.192x192/6369577.jpg","36"
"31145-1","6375708","5","Bright Red","Miscellaneous","81300","PLATE W. BOWS 2X1Â½","/cdn/product-assets/element.img.lod5photo.192x192/6375708.jpg","17"
"31145-1","6384341","2","Bright Red","Bricks","67810","BRICK W/ BOW 2X2X1 1/3","/cdn/product-assets/element.img.lod5photo.192x192/6384341.jpg","10"
"31145-1","6384910","2","Bright Red","Plates","79491","PLATE 2X2, 1/4 CIRCLE, W/ CUT OUT","/cdn/product-assets/element.img.lod5photo.192x192/6384910.jpg","39"
"31145-1","6400110","1","Bright Red","Plates","1745","PLATE 1X2, 1/2 CIRCLE, W/ 1 KNOB","/cdn/product-assets/element.img.lod5photo.192x192/6400110.jpg","10"
"31145-1","6510057","1","Bright Red","Plates","1745","PLATE 1X2, 1/2 CIRCLE, W/ 1 KNOB","/cdn/product-assets/element.img.lod5photo.192x192/6510057.jpg","24"
"31145-1","6378120","2","Bright Red","Connectors","89678","4.85 BUSH FRICTION W/ KNOB","/cdn/product-assets/element.img.lod5photo.192x192/6378120.jpg","348"
"31145-1","6337231","1","Bright Yellow","Plates","49563","PLATE 1X2 W/HOLDER, VERTICAL","/cdn/product-assets/element.img.lod5photo.192x192/6337231.jpg","60"
"31145-1","6361082","2","Bright Yellow","Bricks","32807","BRICK 1X1X1 1/3, W/ ARCH","/cdn/product-assets/element.img.lod5photo.192x192/6361082.jpg","64"
"31145-1","6058014","2","Cool Yellow","Plates","3024","PLATE 1X1","/cdn/product-assets/element.img.lod5photo.192x192/6058014.jpg","76"
"31145-1","6147726","3","Cool Yellow","Bricks","11477","PLATE W. BOW 1X2X2/3","/cdn/product-assets/element.img.lod5photo.192x192/6147726.jpg","51"
"31145-1","6201647","4","Cool Yellow","Plates","3023","PLATE 1X2","/cdn/product-assets/element.img.lod5photo.192x192/6201647.jpg","127"
"31145-1","6289285","1","Cool Yellow","Bricks","30935","BRICK 1X1X3 1/3, W/ ARCH","/cdn/product-assets/element.img.lod5photo.192x192/6289285.jpg","4"
"31145-1","6296524","1","Cool Yellow","Plates","3020","PLATE 2X4","/cdn/product-assets/element.img.lod5photo.192x192/6296524.jpg","66"
"31145-1","6316265","2","Cool Yellow","Plates","3022","PLATE 2X2","/cdn/product-assets/element.img.lod5photo.192x192/6316265.jpg","47"
"31145-1","6469045","2","Cool Yellow","Bricks","24309","BRICK, W/ HALF BOW 2X3, W/ CUT","/cdn/product-assets/element.img.lod5photo.192x192/6469045.jpg","1"
"31145-1","6264026","2","Dark Red","Plates","99781","ANGULAR PLATE 1,5 TOP 1X2 1/2","/cdn/product-assets/element.img.lod5photo.192x192/6264026.jpg","24"
"31145-1","6470185","1","Dark Red","Plates","4304","PLATE 2X2X2/3 W/ 2. HOR. KNOB","/cdn/product-assets/element.img.lod5photo.192x192/6470185.jpg","2"
"31145-1","6039479","5","Dark Stone Grey","Plates","14417","PLATE 1X2 BALL Ã˜5.9 MIDDLE","/cdn/product-assets/element.img.lod5photo.192x192/6039479.jpg","610"
"31145-1","6364352","1","Dark Stone Grey","Connectors","67692","3.2 SHAFT W/ 5.9 BALL","/cdn/product-assets/element.img.lod5photo.192x192/6364352.jpg","227"
"31145-1","6457961","1","Dark Stone Grey","Plates","5066","PLATE 2X2 W/ HOR. 3.2 SHAFT","/cdn/product-assets/element.img.lod5photo.192x192/6457961.jpg","85"
